,hospital_code,hospital_name,date_month,triage_cat,emergency_attendances,median_waiting_min,color_code,number_within_time,percent_within_time,number_not_wait,percent_not_wait,number_inbed,percent_inbed,empty,number_inbed_within_4,percent_inbed_within_4
0,1,Mater Hospital Brisbane Public,2022-12-01,1,2,0.0,0,2,100.0,0,0.0,0,0.0,-,0,
1,1,Mater Hospital Brisbane Public,2022-12-01,2,0,,0,0,,0,,0,,-,0,
2,1,Mater Hospital Brisbane Public,2022-12-01,3,0,,0,0,,0,,0,,-,0,
3,1,Mater Hospital Brisbane Public,2022-12-01,4,0,,0,0,,0,,0,,-,0,
4,1,Mater Hospital Brisbane Public,2022-12-01,5,0,,0,0,,0,,0,,-,0,
5,4,The Prince Charles Hospital,2022-12-01,1,10,0.0,1,10,100.0,0,0.0,5,50.0,-,2,40.0
6,4,The Prince Charles Hospital,2022-12-01,2,936,5.0,1,826,88.0,0,0.0,491,52.0,-,332,68.0
7,4,The Prince Charles Hospital,2022-12-01,3,2199,23.0,2,1383,63.0,14,1.0,501,23.0,-,277,55.0
8,4,The Prince Charles Hospital,2022-12-01,4,4650,28.0,2,3369,75.0,144,3.0,277,6.0,-,151,55.0
9,4,The Prince Charles Hospital,2022-12-01,5,456,19.0,1,418,97.0,19,4.0,6,1.0,-,6,100.0
10,11,Princess Alexandra Hospital,2022-12-01,1,1,1.0,0,1,100.0,0,0.0,0,0.0,-,0,
11,11,Princess Alexandra Hospital,2022-12-01,2,7,5.0,0,1,100.0,0,0.0,0,0.0,-,0,
12,11,Princess Alexandra Hospital,2022-12-01,3,36,36.0,3,0,0.0,0,0.0,0,0.0,-,0,
13,11,Princess Alexandra Hospital,2022-12-01,4,14,,,0,,0,0.0,0,0.0,-,0,
14,11,Princess Alexandra Hospital,2022-12-01,5,4,,0,0,,0,0.0,0,0.0,-,0,
15,15,Ipswich Hospital,2022-12-01,1,11,1.0,1,11,100.0,0,0.0,10,91.0,-,4,40.0
16,15,Ipswich Hospital,2022-12-01,2,819,11.0,1,387,47.0,2,0.0,452,55.0,-,277,61.0
17,15,Ipswich Hospital,2022-12-01,3,2111,18.0,1,1456,70.0,35,2.0,713,34.0,-,470,66.0
18,15,Ipswich Hospital,2022-12-01,4,950,23.0,2,768,84.0,33,3.0,107,11.0,-,75,70.0
